No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,CH Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS Report,APRS Report Channel
55,DB0DQ-TS1,438.10000,438.10000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
56,DB0DRI-TS1,438.43750,430.83750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
57,DB0DWL-TS1,439.92500,430.52500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
58,DB0DY-TS1,438.20000,430.60000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
59,DB0EAT-TS1,438.40000,446.00000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
60,DB0EB-TS1,438.51250,430.91250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
61,DB0EBA-TS1,438.77500,431.17500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
62,DB0EEE-TS1,438.55000,430.95000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
63,DB0EG-TS1,439.48750,431.88750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
64,DB0EHS-TS1,439.45000,431.85000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
65,DB0EIF-TS1,438.50000,430.90000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
66,DB0END-TS1,439.27500,431.67500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
67,DB0END-TS1,439.27500,431.67500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
68,DB0ERB-TS1,438.53750,430.93750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
69,DB0ERZ-TS1,439.46250,431.86250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
70,DB0ESS-TS1,438.61250,431.01250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
71,DB0ESW-TS1,439.05000,431.45000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
72,DB0EWB-TS1,439.17500,446.77500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
73,DB0FA-TS1,438.71250,431.11250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
74,DB0FAA-TS1,439.48750,431.88750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
